time(s),joint1,joint2,joint3,joint4,joint5,joint6,joint7,wheel_joint_left,wheel_joint_right
3.026,-1.69984e-07,-5.94204e-06,-3.08632e-06,-1.14903e-05,1.73448e-06,-1.23864e-08,0.0847805,5.53834e-07,9.19912e-07
3.046,-1.70153e-07,-5.94765e-06,-3.09008e-06,-1.1495e-05,1.7366e-06,-1.2397e-08,0.0709682,5.59041e-07,9.2686e-07
3.066,-1.71332e-07,-5.96977e-06,-3.11017e-06,-1.15423e-05,1.74872e-06,-1.24423e-08,0.0902589,5.64253e-07,9.33819e-07
3.086,-1.70078e-07,-5.94408e-06,-3.08843e-06,-1.15056e-05,1.73665e-06,-1.23769e-08,0.206173,5.69455e-07,9.40768e-07
3.106,-1.70356e-07,-5.9337e-06,-3.09254e-06,-1.15429e-05,1.74008e-06,-1.24234e-08,0.287332,5.74668e-07,9.47726e-07
3.126,-1.68413e-07,-5.88375e-06,-3.06173e-06,-1.14806e-05,1.72038e-06,-1.23719e-08,0.34016,5.79869e-07,9.54665e-07
3.146,-1.69332e-07,-5.89481e-06,-3.07958e-06,-1.15334e-05,1.73145e-06,-1.24456e-08,0.383465,5.85085e-07,9.61627e-07
3.166,-1.70242e-07,-5.90504e-06,-3.09904e-06,-1.15821e-05,1.74284e-06,-1.25222e-08,0.420768,5.90302e-07,9.68604e-07
3.186,-1.67271e-07,-5.84002e-06,-3.04857e-06,-1.14645e-05,1.7106e-06,-1.23983e-08,0.426546,5.95498e-07,9.75537e-07
3.206,-1.68496e-07,-5.86235e-06,-3.0703e-06,-1.1524e-05,1.72461e-06,-1.24709e-08,0.441291,6.00714e-07,9.82501e-07
3.226,-1.70012e-07,-5.89602e-06,-3.09655e-06,-1.15793e-05,1.74135e-06,-1.25273e-08,0.419109,6.05932e-07,9.89478e-07
3.246,-1.49925e-07,8.65492e-06,-3.27318e-06,-1.07975e-05,1.64305e-06,-1.17921e-08,0.39063,6.10895e-07,9.96559e-07
3.266,-1.50603e-07,8.76584e-06,-3.28683e-06,-1.08753e-05,1.65833e-06,-1.18552e-08,0.355356,6.16153e-07,1.00356e-06
3.286,-1.51355e-07,8.79073e-06,-3.30003e-06,-1.09294e-05,1.67268e-06,-1.18877e-08,0.289688,6.21411e-07,1.01057e-06
3.306,-1.52033e-07,8.81212e-06,-3.31285e-06,-1.09816e-05,1.68611e-06,-1.19275e-08,0.233482,6.26669e-07,1.01759e-06
3.326,-1.52673e-07,8.83158e-06,-3.32603e-06,-1.10316e-05,1.69927e-06,-1.19778e-08,0.156133,6.31927e-07,1.02462e-06
3.346,-1.53236e-07,8.84761e-06,-3.33951e-06,-1.10786e-05,1.71156e-06,-1.20401e-08,0.0757557,6.37184e-07,1.03167e-06
3.366,-1.56647e-07,-6.2214e-06,-3.34646e-06,-1.0685e-05,1.68717e-06,-1.17188e-08,0.0437044,6.42192e-07,1.03887e-06
